Oblast,Raion,Hromada,Settlement,Population
Chernihivska,Nizhynskyi,Baturynska,Baturyn,2406
Chernihivska,Nizhynskyi,Baturynska,Bondari,26
Chernihivska,Nizhynskyi,Baturynska,Chasnykivka,396
Chernihivska,Nizhynskyi,Baturynska,Holubiv,4
Chernihivska,Nizhynskyi,Baturynska,Horodyshche,1232
Chernihivska,Nizhynskyi,Baturynska,Karpenkove,108
Chernihivska,Nizhynskyi,Baturynska,Katsiry,13
Chernihivska,Nizhynskyi,Baturynska,Krasne,1056
Chernihivska,Nizhynskyi,Baturynska,Lisova Poliana,9
Chernihivska,Nizhynskyi,Baturynska,Lopatyn,23
Chernihivska,Nizhynskyi,Baturynska,Matiivka,370
Chernihivska,Nizhynskyi,Baturynska,Mosty,56
Chernihivska,Nizhynskyi,Baturynska,Mytchenky,1272
Chernihivska,Nizhynskyi,Baturynska,Nove Polissia,43
Chernihivska,Nizhynskyi,Baturynska,Obirky,12
Chernihivska,Nizhynskyi,Baturynska,Obmachiv,1020
Chernihivska,Nizhynskyi,Baturynska,Osich,274
Chernihivska,Nizhynskyi,Baturynska,Palchyky,543
Chernihivska,Nizhynskyi,Baturynska,Prokhory,11
Chernihivska,Nizhynskyi,Baturynska,Pyrohivka,10
Chernihivska,Nizhynskyi,Baturynska,Shumeikyne,1
Chernihivska,Nizhynskyi,Baturynska,Shumyn,59
Chernihivska,Nizhynskyi,Baturynska,Slobidka,125
Chernihivska,Nizhynskyi,Baturynska,Tasuiv,66
Chernihivska,Nizhynskyi,Baturynska,Verbivka,58
Chernihivska,Nizhynskyi,Baturynska,Vesele,116
Chernihivska,Nizhynskyi,Baturynska,Veselivka,33
Chernihivska,Nizhynskyi,Bobrovytska,Bobrovytsia,10541
Chernihivska,Nizhynskyi,Bobrovytska,Branytsia,1221
Chernihivska,Nizhynskyi,Bobrovytska,Bryhyntsi,326
Chernihivska,Nizhynskyi,Bobrovytska,Buhlaky,32
Chernihivska,Nizhynskyi,Bobrovytska,Hart,36
Chernihivska,Nizhynskyi,Bobrovytska,Havrylivka,127
Chernihivska,Nizhynskyi,Bobrovytska,Horbachi,374
Chernihivska,Nizhynskyi,Bobrovytska,Katerynivka,119
Chernihivska,Nizhynskyi,Bobrovytska,Khomivtsi,8
Chernihivska,Nizhynskyi,Bobrovytska,Kobyzhcha,4498
Chernihivska,Nizhynskyi,Bobrovytska,Konoshivka,5
Chernihivska,Nizhynskyi,Bobrovytska,Kozatske,877
Chernihivska,Nizhynskyi,Bobrovytska,Lidyn,93
Chernihivska,Nizhynskyi,Bobrovytska,Mainivka,64
Chernihivska,Nizhynskyi,Bobrovytska,Makarivka,659
Chernihivska,Nizhynskyi,Bobrovytska,Markivtsi,1504
Chernihivska,Nizhynskyi,Bobrovytska,Molodizhne,153
Chernihivska,Nizhynskyi,Bobrovytska,Mykolaiv,115
Chernihivska,Nizhynskyi,Bobrovytska,Myrne,644
Chernihivska,Nizhynskyi,Bobrovytska,Naumivka,246
Chernihivska,Nizhynskyi,Bobrovytska,Oleksandrivka,523
Chernihivska,Nizhynskyi,Bobrovytska,Osokorivka,270
Chernihivska,Nizhynskyi,Bobrovytska,Osovets,300
Chernihivska,Nizhynskyi,Bobrovytska,Ozeriany,629
Chernihivska,Nizhynskyi,Bobrovytska,Petrivka,955
Chernihivska,Nizhynskyi,Bobrovytska,Pisky,708
Chernihivska,Nizhynskyi,Bobrovytska,Pluh,7
Chernihivska,Nizhynskyi,Bobrovytska,Rudkivka,1379
Chernihivska,Nizhynskyi,Bobrovytska,Shchasnivka,398
Chernihivska,Nizhynskyi,Bobrovytska,Stara Basan,921
Chernihivska,Nizhynskyi,Bobrovytska,Sukhynia,418
Chernihivska,Nizhynskyi,Bobrovytska,Svydovets,590
Chernihivska,Nizhynskyi,Bobrovytska,Tatarivka,10
Chernihivska,Nizhynskyi,Bobrovytska,Travkyne,271
Chernihivska,Nizhynskyi,Bobrovytska,Ukrainka,38
Chernihivska,Nizhynskyi,Bobrovytska,Urozhaine,12
Chernihivska,Nizhynskyi,Bobrovytska,Vyshneve,82
Chernihivska,Nizhynskyi,Bobrovytska,Yaroslavka,1191
Chernihivska,Nizhynskyi,Bobrovytska,Zaporizhzhia,114
Chernihivska,Nizhynskyi,Bobrovytska,Zatyshshia,61
Chernihivska,Nizhynskyi,Bobrovytska,Zelene,91
Chernihivska,Nizhynskyi,Borznianska,Adamivka,285
Chernihivska,Nizhynskyi,Borznianska,Borzna,9454
Chernihivska,Nizhynskyi,Borznianska,Chervone Ozero,57
Chernihivska,Nizhynskyi,Borznianska,Hryshivka,31
Chernihivska,Nizhynskyi,Borznianska,Ivanivka,804
Chernihivska,Nizhynskyi,Borznianska,Krasnostav,373
Chernihivska,Nizhynskyi,Borznianska,Kynashivka,1372
Chernihivska,Nizhynskyi,Borznianska,Liubomudrivka,126
Chernihivska,Nizhynskyi,Borznianska,Mala Zahorivka,628
Chernihivska,Nizhynskyi,Borznianska,Mykolaivka,786
Chernihivska,Nizhynskyi,Borznianska,Olenivka,1200
Chernihivska,Nizhynskyi,Borznianska,Ostriv Nadii,71
Chernihivska,Nizhynskyi,Borznianska,Prachi,642
Chernihivska,Nizhynskyi,Borznianska,Saponivka,17
Chernihivska,Nizhynskyi,Borznianska,Shapovalivka,1494
Chernihivska,Nizhynskyi,Borznianska,Sukhovodka,14
Chernihivska,Nizhynskyi,Borznianska,Volnytsia,71
Chernihivska,Nizhynskyi,Borznianska,Yaduty,1146
Chernihivska,Nizhynskyi,Borznianska,Yurkivshchyna,80
Chernihivska,Nizhynskyi,Borznianska,Zabilivshchyna Druha,89
Chernihivska,Nizhynskyi,Borznianska,Zabilivshchyna,528
Chernihivska,Nizhynskyi,Borznianska,Zhdaniv,46
Chernihivska,Nizhynskyi,Dmytrivska,Dmytrivka,2090
Chernihivska,Nizhynskyi,Dmytrivska,Haivoron,844
Chernihivska,Nizhynskyi,Dmytrivska,Holinka,800
Chernihivska,Nizhynskyi,Dmytrivska,Kovalove,4
Chernihivska,Nizhynskyi,Dmytrivska,Kropyvne,790
Chernihivska,Nizhynskyi,Dmytrivska,Nechaiv,12
Chernihivska,Nizhynskyi,Dmytrivska,Nove,55
Chernihivska,Nizhynskyi,Dmytrivska,Rubanka,706
Chernihivska,Nizhynskyi,Dmytrivska,Shchucha Hreblia,325
Chernihivska,Nizhynskyi,Dmytrivska,Shevchenkove,70
Chernihivska,Nizhynskyi,Dmytrivska,Smolove,57
Chernihivska,Nizhynskyi,Dmytrivska,Tereshykha,393
Chernihivska,Nizhynskyi,Dmytrivska,Vosme Bereznia,49
Chernihivska,Nizhynskyi,Dmytrivska,Zabolottia,41
Chernihivska,Nizhynskyi,Dmytrivska,Zalissia,27
Chernihivska,Nizhynskyi,Komarivska,Berestovets,1017
Chernihivska,Nizhynskyi,Komarivska,Berezivka,24
Chernihivska,Nizhynskyi,Komarivska,Illintsi,134
Chernihivska,Nizhynskyi,Komarivska,Khovmy,637
Chernihivska,Nizhynskyi,Komarivska,Komarivka,1768
Chernihivska,Nizhynskyi,Komarivska,Krasnosilske,794
Chernihivska,Nizhynskyi,Komarivska,Lynivka,16
Chernihivska,Nizhynskyi,Komarivska,Prokhory,816
Chernihivska,Nizhynskyi,Komarivska,Shevchenka,170
Chernihivska,Nizhynskyi,Komarivska,Smoliazh,410
Chernihivska,Nizhynskyi,Komarivska,Stepanivka,586
Chernihivska,Nizhynskyi,Komarivska,Sydorivka,555
Chernihivska,Nizhynskyi,Komarivska,Volovytsia,450
Chernihivska,Nizhynskyi,Komarivska,Vorona,10
Chernihivska,Nizhynskyi,Komarivska,Zaporizhzhia,65
Chernihivska,Nizhynskyi,Krutivska,Baklanove,79
Chernihivska,Nizhynskyi,Krutivska,Burkivka,476
Chernihivska,Nizhynskyi,Krutivska,Dibrova,55
Chernihivska,Nizhynskyi,Krutivska,Khoroshe Ozero,1059
Chernihivska,Nizhynskyi,Krutivska,Kruty,1315
Chernihivska,Nizhynskyi,Krutivska,Ombysh,694
Chernihivska,Nizhynskyi,Krutivska,Oster,117
Chernihivska,Nizhynskyi,Krutivska,Pamiatne,401
Chernihivska,Nizhynskyi,Krutivska,Pechi,577
Chernihivska,Nizhynskyi,Krutivska,Perebudova,438
Chernihivska,Nizhynskyi,Krutivska,Pochechyne,99
Chernihivska,Nizhynskyi,Krutivska,Poliana,161
Chernihivska,Nizhynskyi,Krutivska,Ukrainka,63
Chernihivska,Nizhynskyi,Krutivska,Valentiiv,97
Chernihivska,Nizhynskyi,Losynivska,Bohdanivka,546
Chernihivska,Nizhynskyi,Losynivska,Chystyi Kolodiaz,251
Chernihivska,Nizhynskyi,Losynivska,Danyna,1022
Chernihivska,Nizhynskyi,Losynivska,Halytsia,1817
Chernihivska,Nizhynskyi,Losynivska,Harmashchyna,225
Chernihivska,Nizhynskyi,Losynivska,Kovtunivka,45
Chernihivska,Nizhynskyi,Losynivska,Leonidivka,497
Chernihivska,Nizhynskyi,Losynivska,Losynivka,3583
Chernihivska,Nizhynskyi,Losynivska,Myrne,23
Chernihivska,Nizhynskyi,Losynivska,Peremoha,450
Chernihivska,Nizhynskyi,Losynivska,Pohrebets,253
Chernihivska,Nizhynskyi,Losynivska,Sadove,123
Chernihivska,Nizhynskyi,Losynivska,Salne,714
Chernihivska,Nizhynskyi,Losynivska,Shatura,719
Chernihivska,Nizhynskyi,Losynivska,Shniakivka,433
Chernihivska,Nizhynskyi,Losynivska,Stantsiia Losynivska,283
Chernihivska,Nizhynskyi,Losynivska,Step,0
Chernihivska,Nizhynskyi,Losynivska,Svitanok,646
Chernihivska,Nizhynskyi,Losynivska,Tereshkivka,369
Chernihivska,Nizhynskyi,Losynivska,Viktorivka,286
Chernihivska,Nizhynskyi,Losynivska,Yakhnivka,348
Chernihivska,Nizhynskyi,Makiivska,Hannivka,157
Chernihivska,Nizhynskyi,Makiivska,Hryhorivka,9
Chernihivska,Nizhynskyi,Makiivska,Kalynivka,397
Chernihivska,Nizhynskyi,Makiivska,Karabynivka,153
Chernihivska,Nizhynskyi,Makiivska,Klenove,47
Chernihivska,Nizhynskyi,Makiivska,Kolomiitsivka,571
Chernihivska,Nizhynskyi,Makiivska,Makiivka,1295
Chernihivska,Nizhynskyi,Makiivska,Mylnyky,76
Chernihivska,Nizhynskyi,Makiivska,Platonivka,195
Chernihivska,Nizhynskyi,Makiivska,Pustotyne,453
Chernihivska,Nizhynskyi,Makiivska,Rivchak-Stepanivka,794
Chernihivska,Nizhynskyi,Makiivska,Sofiivka,331
Chernihivska,Nizhynskyi,Makiivska,Stepove,173
Chernihivska,Nizhynskyi,Makiivska,Stepovi Khutory,471
Chernihivska,Nizhynskyi,Makiivska,Verbove,97
Chernihivska,Nizhynskyi,Makiivska,Vesele,40
Chernihivska,Nizhynskyi,Makiivska,Vidradne,127
Chernihivska,Nizhynskyi,Makiivska,Vyly,24
Chernihivska,Nizhynskyi,Makiivska,Vyshneve,45
Chernihivska,Nizhynskyi,Mrynska,Khotynivka,822
Chernihivska,Nizhynskyi,Mrynska,Kyselivka,151
Chernihivska,Nizhynskyi,Mrynska,Lykhachiv,1047
Chernihivska,Nizhynskyi,Mrynska,Mryn,2343
Chernihivska,Nizhynskyi,Mrynska,Ploske,1065
Chernihivska,Nizhynskyi,Mrynska,Rozdolne,221
Chernihivska,Nizhynskyi,Mrynska,Selyshche,574
Chernihivska,Nizhynskyi,Nizhynska,Kunashivka,563
Chernihivska,Nizhynskyi,Nizhynska,Naumivske,53
Chernihivska,Nizhynskyi,Nizhynska,Nizhyn,65830
Chernihivska,Nizhynskyi,Nizhynska,Palyvoda,139
Chernihivska,Nizhynskyi,Nizhynska,Pereiaslivka,480
Chernihivska,Nizhynskyi,Nosivska,Adamivka,464
Chernihivska,Nizhynskyi,Nosivska,Andriivka,81
Chernihivska,Nizhynskyi,Nosivska,Debreve,147
Chernihivska,Nizhynskyi,Nosivska,Derzhanivka,654
Chernihivska,Nizhynskyi,Nosivska,Doslidne,537
Chernihivska,Nizhynskyi,Nosivska,Irzhavets,550
Chernihivska,Nizhynskyi,Nosivska,Kobyleshchyna,91
Chernihivska,Nizhynskyi,Nosivska,Korobchyne,151
Chernihivska,Nizhynskyi,Nosivska,Kozary,748
Chernihivska,Nizhynskyi,Nosivska,Krynytsia,246
Chernihivska,Nizhynskyi,Nosivska,Lisovi Khutory,176
Chernihivska,Nizhynskyi,Nosivska,Lukashivka,90
Chernihivska,Nizhynskyi,Nosivska,Nosivka,12908
Chernihivska,Nizhynskyi,Nosivska,Pidhaine,101
Chernihivska,Nizhynskyi,Nosivska,Stavok,257
Chernihivska,Nizhynskyi,Nosivska,Sulak,531
Chernihivska,Nizhynskyi,Nosivska,Tertyshnyky,135
Chernihivska,Nizhynskyi,Nosivska,Vedmedivka,108
Chernihivska,Nizhynskyi,Nosivska,Volodkova Divytsia,4107
Chernihivska,Nizhynskyi,Nosivska,Yablunivka,433
Chernihivska,Nizhynskyi,Nosivska,Yasna Zirka,309
Chernihivska,Nizhynskyi,Novobasanska,Bilotserkivtsi,490
Chernihivska,Nizhynskyi,Novobasanska,Birky,138
Chernihivska,Nizhynskyi,Novobasanska,Chystopillia,122
Chernihivska,Nizhynskyi,Novobasanska,Krasne,57
Chernihivska,Nizhynskyi,Novobasanska,Mochalyshche,141
Chernihivska,Nizhynskyi,Novobasanska,Nova Basan,3271
Chernihivska,Nizhynskyi,Novobasanska,Novoselytsia,0
Chernihivska,Nizhynskyi,Novobasanska,Novyi Bykiv,2024
Chernihivska,Nizhynskyi,Novobasanska,Rokytne,55
Chernihivska,Nizhynskyi,Novobasanska,Sokolivka,188
Chernihivska,Nizhynskyi,Novobasanska,Staryi Bykiv,619
Chernihivska,Nizhynskyi,Novobasanska,Vepryk,681
Chernihivska,Nizhynskyi,Novobasanska,Voronky,1110
Chernihivska,Nizhynskyi,Plyskivska,Makhnivka,501
Chernihivska,Nizhynskyi,Plyskivska,Plysky,1333
Chernihivska,Nizhynskyi,Plyskivska,Step,47
Chernihivska,Nizhynskyi,Plyskivska,Syvolozh,993
Chernihivska,Nizhynskyi,Plyskivska,Velyka Zahorivka,1562
Chernihivska,Nizhynskyi,Talalaivska,Bezuhlivka,1066
Chernihivska,Nizhynskyi,Talalaivska,Bidyn,31
Chernihivska,Nizhynskyi,Talalaivska,Dovhe,15
Chernihivska,Nizhynskyi,Talalaivska,Kalynivka,52
Chernihivska,Nizhynskyi,Talalaivska,Khomivka,50
Chernihivska,Nizhynskyi,Talalaivska,Khvylivka,306
Chernihivska,Nizhynskyi,Talalaivska,Kravchykha,45
Chernihivska,Nizhynskyi,Talalaivska,Kropyvne,648
Chernihivska,Nizhynskyi,Talalaivska,Kurylivka,252
Chernihivska,Nizhynskyi,Talalaivska,Lustivka,90
Chernihivska,Nizhynskyi,Talalaivska,Nizhynske,1175
Chernihivska,Nizhynskyi,Talalaivska,Pashkivka,227
Chernihivska,Nizhynskyi,Talalaivska,Syndarevske,125
Chernihivska,Nizhynskyi,Talalaivska,Talalaivka,2267
Chernihivska,Nizhynskyi,Talalaivska,Velyka Doroha,711
Chernihivska,Nizhynskyi,Vertiivska,Berezanka,239
Chernihivska,Nizhynskyi,Vertiivska,Bobryk,404
Chernihivska,Nizhynskyi,Vertiivska,Cherniakhivka,737
Chernihivska,Nizhynskyi,Vertiivska,Duboluhivka,568
Chernihivska,Nizhynskyi,Vertiivska,Kabluky,138
Chernihivska,Nizhynskyi,Vertiivska,Kardashi,0
Chernihivska,Nizhynskyi,Vertiivska,Kholiavky,36
Chernihivska,Nizhynskyi,Vertiivska,Khomyne,43
Chernihivska,Nizhynskyi,Vertiivska,Kolisnyky,530
Chernihivska,Nizhynskyi,Vertiivska,Kukshyn,932
Chernihivska,Nizhynskyi,Vertiivska,Lisove,154
Chernihivska,Nizhynskyi,Vertiivska,Lypiv Rih,970
Chernihivska,Nizhynskyi,Vertiivska,Mala Koshelivka,450
Chernihivska,Nizhynskyi,Vertiivska,Mylnyky,348
Chernihivska,Nizhynskyi,Vertiivska,Nyzy,65
Chernihivska,Nizhynskyi,Vertiivska,Perekhodivka,264
Chernihivska,Nizhynskyi,Vertiivska,Stodoly,527
Chernihivska,Nizhynskyi,Vertiivska,Tytivka,135
Chernihivska,Nizhynskyi,Vertiivska,Velyka Koshelivka,785
Chernihivska,Nizhynskyi,Vertiivska,Vertiivka,3849
Chernihivska,Nizhynskyi,Vertiivska,Yabluneve,284
Chernihivska,Nizhynskyi,Vertiivska,Yunist,0
Chernihivska,Nizhynskyi,Vertiivska,Zanky,405
Chernihivska,Nizhynskyi,Vertiivska,Zrub,157
Chernihivska,Nizhynskyi,Vysochanska,Chervona Hirka,17
Chernihivska,Nizhynskyi,Vysochanska,Dobropillia,53
Chernihivska,Nizhynskyi,Vysochanska,Halaibyne,541
Chernihivska,Nizhynskyi,Vysochanska,Holovenky,1175
Chernihivska,Nizhynskyi,Vysochanska,Kerbutivka,420
Chernihivska,Nizhynskyi,Vysochanska,Klypyn,19
Chernihivska,Nizhynskyi,Vysochanska,Kupchenkiv,68
Chernihivska,Nizhynskyi,Vysochanska,Mala Doch,73
Chernihivska,Nizhynskyi,Vysochanska,Malychyna Hreblia,185
Chernihivska,Nizhynskyi,Vysochanska,Noselivka,743
Chernihivska,Nizhynskyi,Vysochanska,Novi Mlyny,905
Chernihivska,Nizhynskyi,Vysochanska,Parystivka,111
Chernihivska,Nizhynskyi,Vysochanska,Trostianka,622
Chernihivska,Nizhynskyi,Vysochanska,Velyka Doch,794
Chernihivska,Nizhynskyi,Vysochanska,Vysoke,1426
Chernihivska,Novhorod-Siverskyi,Koropska,Atiusha,1570
Chernihivska,Novhorod-Siverskyi,Koropska,Borysove,11
Chernihivska,Novhorod-Siverskyi,Koropska,Budyshche,377
Chernihivska,Novhorod-Siverskyi,Koropska,Buzhanka,105
Chernihivska,Novhorod-Siverskyi,Koropska,Bylka,1053
Chernihivska,Novhorod-Siverskyi,Koropska,Chereshenky,248
Chernihivska,Novhorod-Siverskyi,Koropska,Chorniavka,55
Chernihivska,Novhorod-Siverskyi,Koropska,Dribtsi,10
Chernihivska,Novhorod-Siverskyi,Koropska,Halychivka,42
Chernihivska,Novhorod-Siverskyi,Koropska,Horodyshche,361
Chernihivska,Novhorod-Siverskyi,Koropska,Horokhove,158
Chernihivska,Novhorod-Siverskyi,Koropska,Hrudy,22
Chernihivska,Novhorod-Siverskyi,Koropska,Huta,32
Chernihivska,Novhorod-Siverskyi,Koropska,Karatsiubyne,102
Chernihivska,Novhorod-Siverskyi,Koropska,Karylske,972
Chernihivska,Novhorod-Siverskyi,Koropska,Korop,4990
Chernihivska,Novhorod-Siverskyi,Koropska,Krasnopillia,681
Chernihivska,Novhorod-Siverskyi,Koropska,Kuchi,14
Chernihivska,Novhorod-Siverskyi,Koropska,Lebedyn,177
Chernihivska,Novhorod-Siverskyi,Koropska,Lubenets,110
Chernihivska,Novhorod-Siverskyi,Koropska,Lukniv,562
Chernihivska,Novhorod-Siverskyi,Koropska,Lysa Hora,3
Chernihivska,Novhorod-Siverskyi,Koropska,Mokhove,17
Chernihivska,Novhorod-Siverskyi,Koropska,Nakot,91
Chernihivska,Novhorod-Siverskyi,Koropska,Nekhaivka,1618
Chernihivska,Novhorod-Siverskyi,Koropska,Nekryte,11
Chernihivska,Novhorod-Siverskyi,Koropska,Norytsia,41
Chernihivska,Novhorod-Siverskyi,Koropska,Novoselytsia,21
Chernihivska,Novhorod-Siverskyi,Koropska,Obolonnia,885
Chernihivska,Novhorod-Siverskyi,Koropska,Podoliaky,92
Chernihivska,Novhorod-Siverskyi,Koropska,Poliana,39
Chernihivska,Novhorod-Siverskyi,Koropska,Poliske,597
Chernihivska,Novhorod-Siverskyi,Koropska,Prydesnianske,205
Chernihivska,Novhorod-Siverskyi,Koropska,Pusta Hreblia,213
Chernihivska,Novhorod-Siverskyi,Koropska,Raihorodok,369
Chernihivska,Novhorod-Siverskyi,Koropska,Ranok,21
Chernihivska,Novhorod-Siverskyi,Koropska,Rozhdestvenske,1393
Chernihivska,Novhorod-Siverskyi,Koropska,Rubannykiv,9
Chernihivska,Novhorod-Siverskyi,Koropska,Rybotyn,1086
Chernihivska,Novhorod-Siverskyi,Koropska,Ryzhky,406
Chernihivska,Novhorod-Siverskyi,Koropska,Shabalyniv,1636
Chernihivska,Novhorod-Siverskyi,Koropska,Sokhachi,613
Chernihivska,Novhorod-Siverskyi,Koropska,Stanove,4
Chernihivska,Novhorod-Siverskyi,Koropska,Syniavka,130
Chernihivska,Novhorod-Siverskyi,Koropska,Tarasivka,187
Chernihivska,Novhorod-Siverskyi,Koropska,Vilne,381
Chernihivska,Novhorod-Siverskyi,Koropska,Vyshenky,507
Chernihivska,Novhorod-Siverskyi,Koropska,Yehorivka,35
Chernihivska,Novhorod-Siverskyi,Koropska,Zaitseve,56
Chernihivska,Novhorod-Siverskyi,Koropska,Zhernivka,164
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Arapovychi,199
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Arshuky,22
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Berezova Hat,184
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Blystova,733
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Bohdanove,101
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Buchky,283
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Budo-Vorobivska,462
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Budyshche,266
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Buhrynivka,161
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Byryne,962
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Chaikyne,296
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Chernatske,63
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Chulativ,137
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Dibrova,10
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Dihtiarivka,654
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Drobyshiv,191
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Faivka,349
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Forostovychi,222
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Fursove,10
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Hai,20
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Hirky,268
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Hnativka,210
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Horbove,377
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Horodyshche,20
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Hremiach,1399
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Kamianska Sloboda,407
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Kamin,276
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Karabany,157
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Klevyn,42
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Kolos,38
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Koman,215
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Kovpynka,144
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Krasna Hirka,0
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Krasnyi Khutir,71
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Kremskyi Buhor,26
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Krolevets-Slobidka,44
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Kudlaivka,404
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Kuzmynske,13
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Kyselivka,35
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Larynivka,375
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Lenkiv,300
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Liskonohy,462
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Lomanka,133
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Loska,344
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Lyzunivka,451
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Mamekyne,350
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Movchaniv,8
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Muraveinyk,79
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Muravi,181
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Mykhailivka,61
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Mykhalchyna-Sloboda,383
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Novenke,30
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Novhorod-Siverskyi,12375
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Novoselivka,29
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Obiednane,274
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Orlivka,1214
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Osove,27
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Pecheniuhy,608
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Pidhirne,16
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Poliushkyne,145
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Popivka,503
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Prokopivka,183
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Pushkari,366
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Putyvsk,73
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Rohivka,364
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Roshcha,19
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Sapozhkiv Khutir,272
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Sheptaky,639
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Slobidka,366
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Smiach,492
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Soloviv,19
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Stakhorshchyna,414
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Studynka,421
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Troitske,537
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Ushivka,93
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Uzrui,93
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Velykyi Hai,18
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Vnutrishnii Bir,56
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Volodymyrivka,81
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Vorobivka,607
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Vostochne,5
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Vylchyky,27
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Yasna Poliana,12
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Yasne,42
Chernihivska,Novhorod-Siverskyi,Novhorod-Siverska,Yukhnove,275
